date,pace,distance,heart_rate,calories
2014-06-28,6.46,7.5,160,630.8
2014-06-29,7.15,10.8,140,753.3
2014-06-30,5.04,12.6,188,1230.0
2014-07-01,5.77,12.0,176,1088.1
2014-07-02,7.70,5.0,142,350.0
2014-07-03,5.43,12.1,181,1182.0
2014-07-04,5.11,8.0,180,780.6
2014-07-05,5.59,8.4,177,766.1
2014-07-06,5.15,10.8,188,1053.8
2014-07-07,5.11,7.8,180,759.8
2014-07-08,5.10,9.1,186,895.2
2014-07-09,5.73,9.9,174,902.0
2014-07-10,7.20,9.9,143,693.5
2014-07-11,6.35,13.2,161,1112.3
2014-07-12,5.41,10.6,187,1041.4
2014-07-13,6.48,11.6,168,972.7
2014-07-14,5.75,9.1,172,830.2
2014-07-15,6.83,14.3,157,1100.8
2014-07-16,6.07,6.9,163,580.6
2014-07-17,5.15,7.2,189,705.3
2014-07-18,6.09,9.7,166,819.0
2014-07-19,6.98,7.3,151,562.1
2014-07-20,5.08,11.0,182,1075.1
2014-07-21,6.60,13.8,157,1060.5
2014-07-22,8.00,8.7,146,611.4
2014-07-23,6.94,7.8,157,598.8
2014-07-24,6.19,9.7,166,813.0
2014-07-25,5.52,11.6,173,1056.9
2014-07-26,6.32,9.4,160,789.9
2014-07-27,5.11,11.4,181,1116.5
2014-07-28,7.29,13.3,148,930.4
2014-07-29,7.35,12.4,141,865.3
2014-07-30,7.32,8.4,142,591.5
2014-07-31,6.04,12.5,166,1051.2
2014-08-01,7.34,11.5,141,808.5
2014-08-02,6.31,10.9,160,913.8
2014-08-03,7.26,8.3,147,584.4
2014-08-04,5.14,12.2,186,1197.0
2014-08-05,5.16,11.0,183,1075.2
2014-08-06,6.83,10.0,158,768.4
2014-08-07,7.74,8.2,146,570.5
2014-08-08,5.20,9.5,185,930.1
2014-08-09,7.59,9.6,147,672.9
2014-08-10,7.07,12.1,149,849.3
2014-08-11,5.51,11.6,172,1051.4
2014-08-12,6.36,11.9,163,997.2
2014-08-13,6.55,11.8,152,906.1
2014-08-14,5.90,9.9,175,903.5
2014-08-15,7.52,8.3,140,584.4
2014-08-16,6.90,13.7,153,1053.7
2014-08-17,6.48,11.6,163,972.2
2014-08-18,5.69,10.2,174,927.9
2014-08-19,6.03,14.3,160,1203.9
2014-08-20,6.46,9.1,163,763.1
2014-08-21,7.86,9.4,147,656.9
2014-08-22,5.57,8.1,178,741.1
2014-08-23,5.62,8.3,170,752.6
2014-08-24,5.42,10.8,184,1055.3
2014-08-25,6.87,13.0,157,999.9
2014-08-26,5.94,7.9,174,720.4
2014-08-27,6.94,9.5,157,731.2
2014-08-28,6.90,10.8,150,829.7
2014-08-29,5.12,10.6,181,1036.7
2014-08-30,6.93,8.0,152,619.5
2014-08-31,7.25,10.5,146,734.4
2014-09-01,5.54,9.9,174,905.3
2014-09-02,5.59,8.1,176,733.0
2014-09-03,7.83,11.4,143,799.0
2014-09-04,5.21,9.2,185,905.5
2014-09-05,6.02,10.5,164,880.0
2014-09-06,6.11,11.7,163,982.2
2014-09-07,5.31,11.9,182,1166.8
2014-09-08,6.66,9.5,150,729.8
2014-09-09,5.81,10.6,171,962.3
2014-09-10,5.28,6.2,184,602.9
2014-09-11,6.84,7.5,151,577.5
2014-09-12,6.74,7.1,153,547.4
2014-09-13,6.95,11.4,150,880.8
2014-09-14,6.50,9.6,157,737.7
2014-09-15,5.90,10.8,174,978.7
2014-09-16,5.44,6.7,185,653.3
2014-09-17,6.53,8.5,156,655.9
2014-09-18,6.92,12.6,150,967.5
2014-09-19,6.42,11.5,162,965.2
2014-09-20,7.15,12.5,140,874.1
2014-09-21,6.49,9.9,169,828.0
2014-09-22,6.13,7.9,162,659.6
2014-09-23,6.01,13.2,169,1104.6
2014-09-24,5.06,8.6,184,841.9
2014-09-25,5.17,11.5,181,1123.3
2014-09-26,6.22,15.5,160,1301.2
2014-09-27,7.67,9.0,148,631.2
2014-09-28,6.12,9.5,169,799.2
2014-09-29,5.37,9.6,186,943.4
2014-09-30,5.56,16.2,174,1475.1
2014-10-01,6.11,10.0,167,838.6
2014-10-02,7.67,10.6,143,740.2
2014-10-03,7.54,10.2,144,714.4
2014-10-04,6.33,12.2,165,1025.1
2014-10-05,6.67,10.8,156,831.5
2014-10-06,7.36,11.7,147,820.1
2014-10-07,6.92,9.3,154,714.3
2014-10-08,7.04,11.7,140,822.0
2014-10-09,5.65,8.3,175,750.8
2014-10-10,6.16,9.5,166,801.0
2014-10-11,5.58,10.8,173,986.6
2014-10-12,5.40,10.3,186,1012.4
2014-10-13,6.02,11.5,163,962.6
2014-10-14,5.34,10.9,182,1070.9
2014-10-15,6.13,9.5,164,797.1
2014-10-16,5.78,9.6,172,871.3
2014-10-17,5.06,10.9,184,1063.6
2014-10-18,5.36,8.3,181,814.9
2014-10-19,6.91,7.6,156,588.6
2014-10-20,7.64,12.0,141,841.2
2014-10-21,6.41,12.7,162,1069.5
2014-10-22,7.72,10.0,142,702.7
2014-10-23,7.86,9.8,146,686.1
2014-10-24,6.01,9.3,169,781.4
2014-10-25,5.02,11.2,186,1099.3
2014-10-26,6.73,9.9,155,764.8
2014-10-27,6.32,6.6,168,553.7
2014-10-28,6.18,9.3,167,784.2
2014-10-29,7.62,7.2,146,507.1
2014-10-30,5.34,9.0,180,879.5
2014-10-31,5.01,7.2,180,708.5
2014-11-01,5.65,8.8,172,799.1
2014-11-02,6.68,11.0,151,847.5
2014-11-03,5.53,11.6,173,1054.1
2014-11-04,6.43,8.0,163,668.7
2014-11-05,6.81,8.0,153,614.4
2014-11-06,6.75,9.5,150,734.9
2014-11-07,6.70,11.6,153,890.4
2014-11-08,5.89,9.9,173,899.2
2014-11-09,5.07,9.9,188,967.8
2014-11-10,6.08,11.5,167,963.8
2014-11-11,5.69,15.5,174,1413.7
2014-11-12,6.54,9.3,153,712.4
2014-11-13,6.83,11.0,152,849.1
2014-11-14,6.98,12.3,153,945.7
2014-11-15,5.37,9.6,185,939.7
2014-11-16,7.32,8.6,140,604.7
2014-11-17,7.79,8.7,148,611.0
2014-11-18,7.58,6.0,148,423.0
2014-11-19,6.79,7.9,152,609.8
2014-11-20,5.13,11.0,189,1081.9
2014-11-21,6.20,9.6,169,809.9
2014-11-22,6.71,7.7,151,592.4
2014-11-23,7.37,6.3,140,438.8
2014-11-24,5.11,10.0,184,984.2
2014-11-25,5.82,7.4,176,673.6
2014-11-26,5.24,10.1,180,993.0
2014-11-27,5.47,7.5,185,735.5
2014-11-28,5.19,10.3,186,1011.9
2014-11-29,5.89,8.2,178,747.9
2014-11-30,5.73,10.0,176,908.4
2014-12-01,6.71,14.5,152,1115.5
2014-12-02,6.43,10.2,166,858.7
2014-12-03,5.33,10.0,182,981.1
2014-12-04,5.96,9.0,179,822.7
2014-12-05,6.70,10.4,150,801.4
2014-12-06,5.61,9.7,179,882.4
2014-12-07,6.13,7.0,168,589.3
2014-12-08,5.38,9.0,185,881.5
2014-12-09,6.92,8.9,155,685.9
2014-12-10,5.15,12.2,182,1197.9
2014-12-11,5.25,10.2,186,995.8
2014-12-12,5.67,9.8,173,895.4
2014-12-13,5.33,6.0,180,583.7
2014-12-14,6.38,5.6,162,474.6
2014-12-15,7.23,8.4,148,587.3
2014-12-16,5.46,10.6,183,1036.6
2014-12-17,7.60,5.4,140,377.8
2014-12-18,6.85,14.2,157,1093.9
2014-12-19,6.90,8.5,152,651.3
2014-12-20,6.95,6.7,158,517.9
2014-12-21,6.00,10.1,173,917.4
2014-12-22,5.43,7.1,184,691.9
2014-12-23,5.54,9.9,170,896.8
2014-12-24,7.66,7.2,145,506.1
2014-12-25,6.63,10.3,157,793.2
2014-12-26,5.05,11.7,182,1148.6
2014-12-27,5.38,11.5,189,1130.0
2014-12-28,7.26,5.1,140,355.3
2014-12-29,6.43,7.7,162,648.3
2014-12-30,6.08,7.4,165,620.5
2014-12-31,6.73,10.8,153,829.5
2015-01-01,6.41,5.0,160,421.1
2015-01-02,5.47,10.7,182,1053.0
2015-01-03,5.62,6.5,175,592.8
2015-01-04,5.87,13.1,177,1188.1
2015-01-05,6.39,11.3,161,952.3
2015-01-06,5.90,6.8,172,620.9
2015-01-07,7.29,13.3,146,930.4
2015-01-08,5.62,9.4,173,856.4
2015-01-09,5.19,10.1,183,989.8
2015-01-10,6.63,10.0,155,772.5
2015-01-11,5.96,9.0,170,821.3
2015-01-12,6.72,11.8,157,911.9
2015-01-13,5.01,11.7,180,1150.0
2015-01-14,5.02,11.5,184,1126.0
2015-01-15,5.15,10.3,189,1007.1
2015-01-16,7.83,8.7,140,612.2
2015-01-17,5.14,9.1,181,887.9
2015-01-18,7.77,11.4,145,800.5
2015-01-19,5.74,7.8,170,714.0
2015-01-20,5.43,6.9,189,680.9
2015-01-21,6.97,10.5,159,806.1
2015-01-22,6.18,11.6,165,970.5
2015-01-23,5.95,10.6,176,967.7
2015-01-24,6.56,8.5,151,651.3
2015-01-25,6.25,9.5,165,802.0
2015-01-26,6.12,8.9,160,744.0
2015-01-27,5.10,9.7,183,955.5
2015-01-28,5.61,11.6,171,1052.6
2015-01-29,7.76,9.3,140,653.0
2015-01-30,5.60,11.0,178,998.7
2015-01-31,7.88,8.6,145,599.7
2015-02-01,5.01,6.2,184,610.9
2015-02-02,5.46,10.0,184,976.6
2015-02-03,7.27,9.6,149,670.7
2015-02-04,7.74,8.2,142,577.0
2015-02-05,5.75,11.7,179,1061.2
2015-02-06,5.25,9.7,185,953.6
2015-02-07,6.65,12.7,151,974.6
2015-02-08,6.84,10.7,159,822.7
2015-02-09,7.03,11.3,144,793.8
2015-02-10,7.80,13.0,141,909.3
2015-02-11,5.96,7.8,179,705.6
2015-02-12,6.33,6.4,164,536.6
2015-02-13,7.74,9.7,146,677.6
2015-02-14,6.59,7.0,155,537.6
2015-02-15,7.21,10.3,149,723.7
2015-02-16,6.61,9.7,152,748.9
2015-02-17,7.78,7.8,146,546.8
2015-02-18,5.01,8.4,187,822.7
2015-02-19,6.00,10.0,167,844.1
2015-02-20,7.38,7.1,148,494.5
2015-02-21,6.97,6.7,155,519.1
2015-02-22,7.77,7.3,140,514.0
2015-02-23,7.10,11.3,148,791.3
2015-02-24,6.47,11.4,167,960.5
2015-02-25,5.91,10.9,179,995.3
2015-02-26,6.03,9.8,163,823.6
2015-02-27,7.96,8.6,140,599.0
2015-02-28,7.37,11.2,143,783.2
2015-03-01,5.57,8.7,176,793.7
2015-03-02,5.99,12.7,179,1152.4
2015-03-03,6.23,9.9,168,833.1
2015-03-04,5.22,8.7,180,851.0
2015-03-05,6.10,7.6,164,637.5
2015-03-06,6.59,13.0,153,1003.6
2015-03-07,6.82,7.5,152,580.9
2015-03-08,6.91,10.9,156,840.3
2015-03-09,5.88,9.3,179,850.4
2015-03-10,7.17,13.8,140,966.5
2015-03-11,5.82,8.1,175,737.8
2015-03-12,6.80,8.7,153,673.7
2015-03-13,5.75,9.0,175,817.3
2015-03-14,5.75,10.5,179,958.6
2015-03-15,5.06,10.7,182,1048.6
2015-03-16,6.90,10.0,150,771.6
2015-03-17,6.70,6.4,150,490.1
2015-03-18,7.93,13.7,148,959.4
2015-03-19,6.33,11.0,165,919.9
2015-03-20,6.07,7.5,164,628.2
2015-03-21,6.54,10.1,157,780.3
2015-03-22,5.52,11.2,171,1019.8
2015-03-23,5.95,11.4,174,1040.1
2015-03-24,7.08,10.9,140,761.6
2015-03-25,6.21,7.9,169,664.0
2015-03-26,6.54,9.9,152,765.1
2015-03-27,5.16,9.9,184,974.4
2015-03-28,5.94,9.4,172,853.7
2015-03-29,6.83,8.9,150,683.6
2015-03-30,7.15,13.8,147,968.3
2015-03-31,6.98,8.3,151,640.5
2015-04-01,6.04,10.1,167,851.2
2015-04-02,6.01,12.3,163,1030.8
2015-04-03,7.66,9.5,147,664.7
2015-04-04,6.92,9.2,156,711.6
2015-04-05,6.56,10.5,155,810.6
2015-04-06,6.64,10.0,151,772.2
2015-04-07,6.29,8.4,163,703.0
2015-04-08,6.90,12.2,151,941.5
2015-04-09,7.20,9.8,141,685.9
2015-04-10,7.29,6.1,140,428.0
2015-04-11,6.61,5.7,153,438.5
2015-04-12,5.37,11.8,183,1156.1
2015-04-13,6.21,9.6,162,803.9
2015-04-14,6.06,12.9,168,1086.2
2015-04-15,5.24,15.4,183,1507.7
2015-04-16,5.84,12.7,175,1157.3
2015-04-17,7.69,11.0,146,767.4
2015-04-18,5.99,12.8,171,1162.6
2015-04-19,6.54,6.7,154,513.5
2015-04-20,7.21,9.4,143,655.1
2015-04-21,5.53,10.9,172,989.1
2015-04-22,7.05,11.7,148,820.4
2015-04-23,5.70,11.0,175,1000.9
2015-04-24,5.79,11.9,173,1085.8
2015-04-25,5.43,8.4,181,826.4
2015-04-26,7.24,10.3,146,720.6
2015-04-27,5.45,12.9,181,1266.1
2015-04-28,6.46,9.6,167,804.4
2015-04-29,5.17,6.7,186,656.5
2015-04-30,6.47,14.3,165,1202.2
2015-05-01,7.92,10.2,148,711.2
2015-05-02,6.97,11.2,156,859.3
2015-05-03,6.28,11.2,168,944.8
2015-05-04,6.23,11.8,164,995.2
2015-05-05,6.31,11.6,168,974.0
2015-05-06,6.46,8.3,167,693.6
2015-05-07,7.64,11.2,149,786.6
2015-05-08,6.53,9.9,152,765.1
2015-05-09,6.51,10.5,158,807.8
2015-05-10,5.95,5.0,170,455.0
2015-05-11,5.90,7.0,177,636.0
2015-05-12,5.94,12.0,172,1089.0
2015-05-13,6.27,8.4,165,705.3
2015-05-14,7.86,11.9,149,834.2
2015-05-15,5.59,10.5,179,959.8
2015-05-16,5.42,7.7,182,754.4
2015-05-17,5.55,10.3,171,938.6
2015-05-18,5.71,14.3,177,1300.1
2015-05-19,5.79,11.6,171,1057.0
2015-05-20,6.30,9.0,168,752.9
2015-05-21,6.09,9.5,163,797.0
2015-05-22,5.56,11.7,172,1062.2
2015-05-23,7.16,10.0,143,699.7
2015-05-24,7.67,7.2,142,501.0
2015-05-25,7.47,12.0,148,841.9
2015-05-26,6.83,8.1,154,620.9
2015-05-27,5.22,6.5,182,634.3
2015-05-28,5.97,8.2,179,746.1
2015-05-29,6.68,10.2,150,782.0
2015-05-30,6.49,8.2,167,688.3
2015-05-31,7.23,12.3,147,858.5
2015-06-01,6.22,6.7,167,562.0
2015-06-02,6.00,6.8,172,616.2
2015-06-03,6.42,11.0,168,927.9
2015-06-04,6.59,11.3,152,872.2
2015-06-05,5.52,8.4,172,767.7
2015-06-06,6.07,10.0,163,838.9
2015-06-07,5.68,10.0,178,908.9
2015-06-08,6.85,11.1,152,856.7
2015-06-09,5.92,11.5,171,1045.0
2015-06-10,7.23,8.4,148,586.0
2015-06-11,7.42,8.0,149,559.3
2015-06-12,6.73,14.4,153,1106.2
2015-06-13,6.94,8.7,155,669.4
2015-06-14,5.38,7.8,188,762.6
2015-06-15,6.12,11.2,164,936.7
2015-06-16,6.35,8.7,167,727.2
2015-06-17,5.31,15.0,182,1474.9
2015-06-18,5.12,8.7,186,849.4
2015-06-19,7.36,12.4,147,868.1
2015-06-20,6.04,8.1,161,681.1
2015-06-21,7.84,8.0,148,556.8
2015-06-22,5.00,9.3,185,907.3
2015-06-23,6.50,9.2,159,706.7
2015-06-24,5.40,10.4,181,1023.5
2015-06-25,6.96,13.7,154,1051.9
2015-06-26,6.29,8.2,168,688.1
2015-06-27,5.85,7.2,171,658.0
2015-06-28,6.26,10.1,164,845.7
2015-06-29,6.43,11.4,162,960.7
2015-06-30,6.39,10.6,162,889.2
2015-07-01,6.50,11.9,161,996.0
2015-07-02,5.92,8.0,174,729.0
2015-07-03,6.27,14.1,161,1187.1
2015-07-04,7.04,11.9,148,831.4
2015-07-05,6.94,8.5,151,650.9
2015-07-06,5.14,10.7,180,1053.0
2015-07-07,6.31,6.7,164,564.0
2015-07-08,6.55,7.3,159,565.3
2015-07-09,5.64,8.9,174,808.2
2015-07-10,7.09,11.4,147,797.4
2015-07-11,6.41,11.8,163,990.9
2015-07-12,6.04,11.2,167,942.9
2015-07-13,6.83,7.7,152,590.3
2015-07-14,7.50,12.0,146,841.3
2015-07-15,5.47,11.6,180,1133.0
2015-07-16,5.01,11.7,184,1149.1
2015-07-17,5.28,9.4,184,917.5
2015-07-18,7.67,12.8,147,899.4
2015-07-19,6.89,10.7,150,820.1
2015-07-20,7.15,6.9,145,483.3
2015-07-21,5.31,12.6,189,1230.5
2015-07-22,5.77,9.6,171,874.4
2015-07-23,5.05,10.9,184,1068.9
2015-07-24,6.14,11.7,169,980.9
2015-07-25,5.21,7.0,185,684.3
2015-07-26,5.76,6.7,172,612.9
2015-07-27,5.17,6.4,181,631.2
2015-07-28,7.21,9.8,147,686.6
2015-07-29,5.72,9.5,177,864.2
2015-07-30,5.62,7.6,172,690.1
2015-07-31,6.01,9.2,168,771.7
2015-08-01,5.25,8.4,185,823.7
2015-08-02,7.60,10.4,144,728.4
2015-08-03,6.43,9.8,161,819.9
2015-08-04,5.51,8.4,178,762.9
2015-08-05,7.54,9.8,140,686.1
2015-08-06,7.14,11.0,144,773.3
2015-08-07,5.55,11.6,175,1055.5
2015-08-08,6.09,14.0,165,1172.7
2015-08-09,6.76,8.0,150,614.1
2015-08-10,6.82,8.7,159,672.6
2015-08-11,6.71,8.0,153,615.3
2015-08-12,7.37,12.5,144,875.6
2015-08-13,5.83,8.2,174,750.1
2015-08-14,6.96,14.9,151,1150.2
2015-08-15,5.12,8.2,188,798.7
2015-08-16,7.69,10.1,141,707.0
2015-08-17,5.59,13.4,170,1220.4
2015-08-18,6.93,8.7,158,670.5
2015-08-19,6.89,6.5,154,498.8
2015-08-20,7.34,8.9,140,621.8
2015-08-21,7.92,10.3,142,720.2
2015-08-22,5.42,10.4,183,1020.1
2015-08-23,6.09,9.5,166,796.4
2015-08-24,6.06,11.1,163,934.0
2015-08-25,6.57,8.2,157,629.3
2015-08-26,7.10,6.3,148,440.5
2015-08-27,5.85,7.5,176,683.3
2015-08-28,7.85,12.2,142,851.7
2015-08-29,6.52,10.1,153,776.9
2015-08-30,6.81,12.1,151,934.6
2015-08-31,6.19,11.7,164,983.2
2015-09-01,5.43,11.5,189,1127.2
2015-09-02,6.18,12.4,164,1041.7
2015-09-03,6.51,7.1,151,544.1
2015-09-04,6.61,9.0,159,689.8
2015-09-05,6.39,9.7,164,816.5
2015-09-06,5.59,11.4,172,1035.4
2015-09-07,6.62,10.7,159,825.2
2015-09-08,6.60,9.3,159,719.4
2015-09-09,5.73,9.5,176,860.7
2015-09-10,6.08,9.1,163,766.5
2015-09-11,7.95,11.5,142,806.2
2015-09-12,6.78,8.7,155,672.5
2015-09-13,7.14,9.2,141,641.1
2015-09-14,7.91,9.0,148,632.1
2015-09-15,5.70,8.8,171,801.0
2015-09-16,6.62,7.2,155,553.3
2015-09-17,5.53,7.3,176,664.2
2015-09-18,5.18,10.8,182,1062.3
2015-09-19,6.66,11.5,156,884.0
2015-09-20,7.68,9.0,140,628.3
2015-09-21,5.65,10.2,171,925.8
2015-09-22,6.65,13.1,155,1006.3
2015-09-23,6.85,11.4,152,876.0
2015-09-24,6.94,13.0,152,1000.2
2015-09-25,5.15,11.4,184,1121.9
2015-09-26,7.01,7.4,148,515.1
2015-09-27,6.93,10.7,152,820.8
2015-09-28,6.25,10.1,167,847.8
2015-09-29,5.99,10.6,178,968.1
2015-09-30,5.70,9.7,176,886.6
2015-10-01,5.68,11.4,171,1033.3
2015-10-02,5.19,8.0,180,786.3
2015-10-03,6.72,12.3,150,950.4
2015-10-04,7.99,12.2,147,852.0
2015-10-05,6.00,12.0,170,1091.3
2015-10-06,5.44,13.3,186,1299.6
2015-10-07,7.04,11.8,149,824.6
2015-10-08,5.89,10.6,177,960.9
2015-10-09,6.08,7.7,164,648.4
2015-10-10,6.28,11.2,168,938.5
2015-10-11,5.21,12.4,181,1213.4
2015-10-12,6.93,8.0,151,615.1
2015-10-13,6.88,8.9,159,682.0
2015-10-14,5.93,7.9,175,717.5
2015-10-15,7.79,8.3,144,578.5
2015-10-16,6.45,9.5,168,796.2
2015-10-17,6.80,10.2,157,785.2
2015-10-18,7.86,7.9,144,555.7
2015-10-19,5.51,10.4,172,946.2
2015-10-20,6.96,9.0,154,694.8
